Date,Time,Temperature,Source
2026-09-14,09:48:03,13.98,Alistair's Apple Watch S10
2026-09-14,09:48:03,17.29,Alistair's Apple Watch S10
2026-09-14,09:48:10,14.51,Alistair's Apple Watch S10
2026-09-14,09:48:29,14.29,Alistair's Apple Watch S10
2026-09-14,09:48:47,14.29,Alistair's Apple Watch S10
2026-09-14,09:49:05,14.29,Alistair's Apple Watch S10
2026-09-14,09:49:22,14.29,Alistair's Apple Watch S10
2026-09-14,09:49:38,14.29,Alistair's Apple Watch S10
2026-09-14,09:50:02,14.29,Alistair's Apple Watch S10
2026-09-14,09:50:18,14.29,Alistair's Apple Watch S10
2026-09-14,09:50:48,14.29,Alistair's Apple Watch S10
2026-09-14,09:51:07,14.29,Alistair's Apple Watch S10
2026-09-14,09:51:24,14.29,Alistair's Apple Watch S10
2026-09-14,09:51:44,14.29,Alistair's Apple Watch S10
2026-09-14,09:52:02,14.29,Alistair's Apple Watch S10
2026-09-14,09:52:35,14.29,Alistair's Apple Watch S10
2026-09-14,09:52:52,14.29,Alistair's Apple Watch S10
2026-09-14,09:53:08,14.29,Alistair's Apple Watch S10
2026-09-14,09:53:26,14.29,Alistair's Apple Watch S10
2026-09-14,09:53:44,14.29,Alistair's Apple Watch S10
2026-09-14,09:54:03,14.29,Alistair's Apple Watch S10
2026-09-14,09:54:18,14.29,Alistair's Apple Watch S10
2026-09-14,09:54:44,14.29,Alistair's Apple Watch S10
2026-09-14,09:55:02,14.29,Alistair's Apple Watch S10
2026-09-14,09:55:19,14.29,Alistair's Apple Watch S10
2026-09-14,09:55:35,14.29,Alistair's Apple Watch S10
2026-09-14,09:55:56,14.29,Alistair's Apple Watch S10
2026-09-14,09:56:13,14.29,Alistair's Apple Watch S10
2026-09-14,09:56:29,14.29,Alistair's Apple Watch S10
2026-09-14,09:56:53,14.29,Alistair's Apple Watch S10
2026-09-14,09:57:17,14.29,Alistair's Apple Watch S10
2026-09-14,09:57:38,14.29,Alistair's Apple Watch S10
2026-09-14,09:57:55,14.29,Alistair's Apple Watch S10
2026-09-14,09:58:11,14.29,Alistair's Apple Watch S10
2026-09-14,09:58:33,14.29,Alistair's Apple Watch S10
2026-09-14,09:58:49,14.29,Alistair's Apple Watch S10
2026-09-14,09:59:05,14.29,Alistair's Apple Watch S10
2026-09-14,09:59:20,14.29,Alistair's Apple Watch S10
2026-09-14,09:59:35,14.29,Alistair's Apple Watch S10
2026-09-14,09:59:52,14.29,Alistair's Apple Watch S10
2026-09-14,10:00:22,14.29,Alistair's Apple Watch S10
2026-09-14,10:00:41,14.29,Alistair's Apple Watch S10
2026-09-14,10:00:58,14.39,Alistair's Apple Watch S10
2026-09-14,10:01:14,14.29,Alistair's Apple Watch S10
2026-09-14,10:01:30,14.29,Alistair's Apple Watch S10
2026-09-14,10:01:48,14.39,Alistair's Apple Watch S10
2026-09-14,10:02:04,14.39,Alistair's Apple Watch S10
2026-09-14,10:02:40,14.29,Alistair's Apple Watch S10
2026-09-14,10:03:11,14.29,Alistair's Apple Watch S10
2026-09-14,10:03:27,14.29,Alistair's Apple Watch S10
2026-09-14,10:03:42,14.29,Alistair's Apple Watch S10
2026-09-14,10:04:15,14.29,Alistair's Apple Watch S10
2026-09-14,10:04:31,14.29,Alistair's Apple Watch S10
2026-09-14,10:05:00,14.29,Alistair's Apple Watch S10
2026-09-14,10:05:16,14.29,Alistair's Apple Watch S10
2026-09-14,10:05:32,14.29,Alistair's Apple Watch S10
2026-09-14,10:06:05,14.29,Alistair's Apple Watch S10
2026-09-14,10:06:20,14.29,Alistair's Apple Watch S10
2026-09-14,10:06:36,14.39,Alistair's Apple Watch S10
2026-09-14,10:06:53,14.29,Alistair's Apple Watch S10
2026-09-14,10:07:11,14.29,Alistair's Apple Watch S10
2026-09-14,10:07:27,14.29,Alistair's Apple Watch S10
2026-09-14,10:07:44,14.29,Alistair's Apple Watch S10
2026-09-14,10:08:01,14.29,Alistair's Apple Watch S10
2026-09-14,10:08:19,14.29,Alistair's Apple Watch S10
2026-09-14,10:08:34,14.29,Alistair's Apple Watch S10
2026-09-14,10:08:50,14.29,Alistair's Apple Watch S10
2026-09-14,10:09:05,14.29,Alistair's Apple Watch S10
2026-09-14,10:09:21,14.29,Alistair's Apple Watch S10
2026-09-14,10:09:42,14.29,Alistair's Apple Watch S10
2026-09-14,10:10:12,14.29,Alistair's Apple Watch S10
2026-09-14,10:10:33,14.29,Alistair's Apple Watch S10
2026-09-14,10:10:55,14.29,Alistair's Apple Watch S10
2026-09-14,10:11:12,14.29,Alistair's Apple Watch S10
2026-09-14,10:11:28,14.29,Alistair's Apple Watch S10
2026-09-14,10:11:44,14.29,Alistair's Apple Watch S10
2026-09-14,10:12:03,14.29,Alistair's Apple Watch S10
2026-09-14,10:12:19,14.29,Alistair's Apple Watch S10
2026-09-14,10:12:34,14.29,Alistair's Apple Watch S10
2026-09-14,10:12:49,14.29,Alistair's Apple Watch S10
2026-09-14,10:13:16,14.29,Alistair's Apple Watch S10
2026-09-14,10:13:33,14.29,Alistair's Apple Watch S10
2026-09-14,10:14:21,14.29,Alistair's Apple Watch S10
2026-09-14,10:14:37,14.29,Alistair's Apple Watch S10
2026-09-14,10:14:54,14.19,Alistair's Apple Watch S10
2026-09-14,10:15:12,14.29,Alistair's Apple Watch S10
2026-09-14,10:15:28,14.29,Alistair's Apple Watch S10
2026-09-14,10:15:49,14.19,Alistair's Apple Watch S10
2026-09-14,10:16:06,14.19,Alistair's Apple Watch S10
2026-09-14,10:16:28,14.19,Alistair's Apple Watch S10
2026-09-14,10:16:45,14.19,Alistair's Apple Watch S10
2026-09-14,10:17:01,14.19,Alistair's Apple Watch S10
2026-09-14,10:17:24,14.19,Alistair's Apple Watch S10
2026-09-14,10:17:43,14.19,Alistair's Apple Watch S10
2026-09-14,10:17:59,14.19,Alistair's Apple Watch S10
2026-09-14,10:18:18,14.19,Alistair's Apple Watch S10
2026-09-14,10:18:38,14.19,Alistair's Apple Watch S10
2026-09-14,10:18:54,14.19,Alistair's Apple Watch S10
2026-09-14,10:19:17,14.19,Alistair's Apple Watch S10
2026-09-14,10:19:38,14.19,Alistair's Apple Watch S10
2026-09-14,10:19:53,14.19,Alistair's Apple Watch S10
2026-09-14,10:20:15,14.19,Alistair's Apple Watch S10
2026-09-14,10:20:34,14.19,Alistair's Apple Watch S10
2026-09-14,10:20:53,14.19,Alistair's Apple Watch S10
2026-09-14,10:21:08,14.19,Alistair's Apple Watch S10
2026-09-14,10:21:35,14.09,Alistair's Apple Watch S10
2026-09-14,10:22:02,14.19,Alistair's Apple Watch S10
2026-09-14,10:22:19,14.19,Alistair's Apple Watch S10
2026-09-14,10:22:37,14.09,Alistair's Apple Watch S10
2026-09-14,10:22:53,14.09,Alistair's Apple Watch S10
2026-09-14,10:23:25,14.19,Alistair's Apple Watch S10
2026-09-14,10:23:41,14.09,Alistair's Apple Watch S10
2026-09-14,10:24:03,14.09,Alistair's Apple Watch S10
2026-09-14,10:24:25,14.09,Alistair's Apple Watch S10
2026-09-14,10:24:42,14.09,Alistair's Apple Watch S10
2026-09-14,10:24:58,14.09,Alistair's Apple Watch S10
2026-09-14,10:25:19,14.09,Alistair's Apple Watch S10
2026-09-14,10:25:36,14.19,Alistair's Apple Watch S10
2026-09-14,10:25:52,14.19,Alistair's Apple Watch S10
2026-09-14,10:26:10,14.09,Alistair's Apple Watch S10
2026-09-14,10:26:28,14.09,Alistair's Apple Watch S10
2026-09-14,10:26:44,14.19,Alistair's Apple Watch S10
2026-09-14,10:27:01,14.09,Alistair's Apple Watch S10
2026-09-14,10:27:20,14.19,Alistair's Apple Watch S10
2026-09-14,10:27:37,14.19,Alistair's Apple Watch S10
2026-09-14,10:28:10,14.19,Alistair's Apple Watch S10
2026-09-14,10:28:25,14.19,Alistair's Apple Watch S10
2026-09-14,10:28:41,14.19,Alistair's Apple Watch S10
2026-09-14,10:29:15,14.19,Alistair's Apple Watch S10
2026-09-14,10:29:45,14.19,Alistair's Apple Watch S10
2026-09-14,10:30:04,14.19,Alistair's Apple Watch S10
2026-09-14,10:30:37,14.19,Alistair's Apple Watch S10
2026-09-14,10:30:52,14.19,Alistair's Apple Watch S10
2026-09-14,10:31:15,14.49,Alistair's Apple Watch S10
2026-09-14,10:31:31,14.71,Alistair's Apple Watch S10
2026-09-14,10:32:18,16.11,Alistair's Apple Watch S10
2026-09-14,10:32:24,13.98,Alistair's Apple Watch S10
2026-09-14,10:32:41,14.29,Alistair's Apple Watch S10
2026-09-14,10:33:01,14.29,Alistair's Apple Watch S10
2026-09-14,10:33:36,14.29,Alistair's Apple Watch S10
2026-09-16,19:00:41,15.19,Alistair's Apple Watch S10
2026-09-16,19:00:59,14.79,Alistair's Apple Watch S10
2026-09-16,19:01:14,14.79,Alistair's Apple Watch S10
2026-09-16,19:01:29,14.79,Alistair's Apple Watch S10
2026-09-16,19:01:46,14.59,Alistair's Apple Watch S10
2026-09-16,19:02:07,14.59,Alistair's Apple Watch S10
2026-09-16,19:02:28,14.69,Alistair's Apple Watch S10
2026-09-16,19:02:50,14.69,Alistair's Apple Watch S10
2026-09-16,19:03:07,14.69,Alistair's Apple Watch S10
2026-09-16,19:03:27,14.59,Alistair's Apple Watch S10
2026-09-16,19:03:52,14.59,Alistair's Apple Watch S10
2026-09-16,19:04:13,14.59,Alistair's Apple Watch S10
2026-09-16,19:04:29,14.59,Alistair's Apple Watch S10
2026-09-16,19:04:45,14.59,Alistair's Apple Watch S10
2026-09-16,19:05:05,14.49,Alistair's Apple Watch S10
2026-09-16,19:05:21,14.49,Alistair's Apple Watch S10
2026-09-16,19:05:37,14.49,Alistair's Apple Watch S10
2026-09-16,19:05:55,14.49,Alistair's Apple Watch S10
2026-09-16,19:06:18,14.49,Alistair's Apple Watch S10
2026-09-16,19:06:35,14.49,Alistair's Apple Watch S10
2026-09-16,19:06:53,14.49,Alistair's Apple Watch S10
2026-09-16,19:07:19,14.49,Alistair's Apple Watch S10
2026-09-16,19:07:35,14.59,Alistair's Apple Watch S10
2026-09-16,19:07:55,14.59,Alistair's Apple Watch S10
2026-09-16,19:08:10,14.69,Alistair's Apple Watch S10
2026-09-16,19:08:40,14.69,Alistair's Apple Watch S10
2026-09-16,19:08:58,14.59,Alistair's Apple Watch S10
2026-09-16,19:09:16,14.59,Alistair's Apple Watch S10
2026-09-16,19:09:34,14.69,Alistair's Apple Watch S10
2026-09-16,19:09:53,14.69,Alistair's Apple Watch S10
2026-09-16,19:10:08,14.69,Alistair's Apple Watch S10
2026-09-16,19:10:27,14.69,Alistair's Apple Watch S10
2026-09-16,19:10:44,14.69,Alistair's Apple Watch S10
2026-09-16,19:10:59,14.79,Alistair's Apple Watch S10
2026-09-16,19:11:15,14.69,Alistair's Apple Watch S10
2026-09-16,19:11:33,14.69,Alistair's Apple Watch S10
2026-09-16,19:11:50,14.79,Alistair's Apple Watch S10
2026-09-16,19:12:31,14.59,Alistair's Apple Watch S10
2026-09-16,19:12:46,14.59,Alistair's Apple Watch S10
2026-09-16,19:13:04,14.59,Alistair's Apple Watch S10
2026-09-16,19:13:21,14.59,Alistair's Apple Watch S10
2026-09-16,19:13:37,14.59,Alistair's Apple Watch S10
2026-09-16,19:13:54,14.49,Alistair's Apple Watch S10
2026-09-16,19:14:26,14.49,Alistair's Apple Watch S10
2026-09-16,19:14:45,14.49,Alistair's Apple Watch S10
2026-09-16,19:15:01,14.49,Alistair's Apple Watch S10
2026-09-16,19:15:23,14.49,Alistair's Apple Watch S10
2026-09-16,19:15:38,14.49,Alistair's Apple Watch S10
2026-09-16,19:15:59,14.49,Alistair's Apple Watch S10
2026-09-16,19:16:15,14.49,Alistair's Apple Watch S10
2026-09-16,19:16:36,14.49,Alistair's Apple Watch S10
2026-09-16,19:16:59,14.49,Alistair's Apple Watch S10
2026-09-16,19:17:28,14.49,Alistair's Apple Watch S10
2026-09-16,19:17:46,14.59,Alistair's Apple Watch S10
2026-09-16,19:18:03,14.49,Alistair's Apple Watch S10
2026-09-16,19:18:18,14.49,Alistair's Apple Watch S10
2026-09-16,19:18:44,14.49,Alistair's Apple Watch S10
2026-09-16,19:19:04,14.49,Alistair's Apple Watch S10
2026-09-16,19:19:23,14.49,Alistair's Apple Watch S10
2026-09-16,19:19:43,14.59,Alistair's Apple Watch S10
2026-09-16,19:20:11,14.39,Alistair's Apple Watch S10
2026-09-16,19:20:28,14.49,Alistair's Apple Watch S10
2026-09-16,19:20:46,14.49,Alistair's Apple Watch S10
2026-09-16,19:21:01,14.49,Alistair's Apple Watch S10
2026-09-16,19:21:16,14.49,Alistair's Apple Watch S10
2026-09-16,19:21:31,14.49,Alistair's Apple Watch S10
2026-09-16,19:21:47,14.49,Alistair's Apple Watch S10
2026-09-16,19:22:03,14.59,Alistair's Apple Watch S10
2026-09-16,19:22:19,14.69,Alistair's Apple Watch S10
2026-09-16,19:22:37,14.69,Alistair's Apple Watch S10
2026-09-16,19:22:55,14.69,Alistair's Apple Watch S10
2026-09-16,19:23:12,14.69,Alistair's Apple Watch S10
2026-09-16,19:23:32,14.69,Alistair's Apple Watch S10
2026-09-16,19:23:52,14.69,Alistair's Apple Watch S10
2026-09-16,19:24:18,14.69,Alistair's Apple Watch S10
2026-09-18,09:21:17,24.29,Alistair's Apple Watch S10
2026-09-18,09:21:43,13.99,Alistair's Apple Watch S10
2026-09-18,09:22:02,13.79,Alistair's Apple Watch S10
2026-09-18,09:22:18,13.79,Alistair's Apple Watch S10
2026-09-18,09:22:33,13.79,Alistair's Apple Watch S10
2026-09-18,09:22:48,13.69,Alistair's Apple Watch S10
2026-09-18,09:23:04,13.69,Alistair's Apple Watch S10
2026-09-18,09:23:23,13.69,Alistair's Apple Watch S10
2026-09-18,09:23:40,13.59,Alistair's Apple Watch S10
2026-09-18,09:23:56,13.59,Alistair's Apple Watch S10
2026-09-18,09:24:12,13.59,Alistair's Apple Watch S10
2026-09-18,09:24:30,13.69,Alistair's Apple Watch S10
2026-09-18,09:24:45,13.59,Alistair's Apple Watch S10
2026-09-18,09:25:03,13.59,Alistair's Apple Watch S10
2026-09-18,09:25:23,13.59,Alistair's Apple Watch S10
2026-09-18,09:25:38,13.59,Alistair's Apple Watch S10
2026-09-18,09:25:54,13.59,Alistair's Apple Watch S10
2026-09-18,09:26:10,13.59,Alistair's Apple Watch S10
2026-09-18,09:26:41,13.49,Alistair's Apple Watch S10
2026-09-18,09:26:56,13.59,Alistair's Apple Watch S10
2026-09-18,09:27:14,13.59,Alistair's Apple Watch S10
2026-09-18,09:27:32,13.59,Alistair's Apple Watch S10
2026-09-18,09:27:50,13.59,Alistair's Apple Watch S10
2026-09-18,09:28:15,13.59,Alistair's Apple Watch S10
2026-09-18,09:28:31,13.59,Alistair's Apple Watch S10
2026-09-18,09:28:48,13.69,Alistair's Apple Watch S10
2026-09-18,09:29:04,13.59,Alistair's Apple Watch S10
2026-09-18,09:29:21,13.59,Alistair's Apple Watch S10
2026-09-18,09:29:36,13.59,Alistair's Apple Watch S10
2026-09-18,09:29:53,13.69,Alistair's Apple Watch S10
2026-09-18,09:30:19,13.59,Alistair's Apple Watch S10
2026-09-18,09:30:36,13.59,Alistair's Apple Watch S10
2026-09-18,09:30:55,13.59,Alistair's Apple Watch S10
2026-09-18,09:31:10,13.69,Alistair's Apple Watch S10
2026-09-18,09:31:29,13.59,Alistair's Apple Watch S10
2026-09-18,09:31:46,13.59,Alistair's Apple Watch S10
2026-09-18,09:32:11,13.59,Alistair's Apple Watch S10
2026-09-18,09:32:27,13.69,Alistair's Apple Watch S10
2026-09-18,09:32:43,13.69,Alistair's Apple Watch S10
2026-09-18,09:33:00,13.69,Alistair's Apple Watch S10
2026-09-18,09:33:17,13.69,Alistair's Apple Watch S10
2026-09-18,09:33:33,13.79,Alistair's Apple Watch S10
2026-09-18,09:33:50,13.69,Alistair's Apple Watch S10
2026-09-18,09:34:07,13.79,Alistair's Apple Watch S10
2026-09-18,09:34:23,13.79,Alistair's Apple Watch S10
2026-09-18,09:34:41,13.69,Alistair's Apple Watch S10
2026-09-18,09:35:01,13.69,Alistair's Apple Watch S10
2026-09-18,09:35:18,13.69,Alistair's Apple Watch S10
2026-09-18,09:35:34,13.69,Alistair's Apple Watch S10
2026-09-18,09:35:52,13.69,Alistair's Apple Watch S10
2026-09-18,09:36:07,13.69,Alistair's Apple Watch S10
2026-09-18,09:36:31,13.69,Alistair's Apple Watch S10
2026-09-18,09:36:46,13.69,Alistair's Apple Watch S10
2026-09-18,09:37:02,13.69,Alistair's Apple Watch S10
2026-09-18,09:37:18,13.69,Alistair's Apple Watch S10
2026-09-18,09:37:47,13.59,Alistair's Apple Watch S10
2026-09-18,09:38:03,13.59,Alistair's Apple Watch S10
2026-09-18,09:38:20,13.59,Alistair's Apple Watch S10
2026-09-18,09:38:37,13.59,Alistair's Apple Watch S10
2026-09-18,09:38:52,13.59,Alistair's Apple Watch S10
2026-09-18,09:39:07,13.59,Alistair's Apple Watch S10
2026-09-18,09:39:27,13.59,Alistair's Apple Watch S10
2026-09-18,09:40:01,13.59,Alistair's Apple Watch S10
2026-09-18,09:40:16,13.59,Alistair's Apple Watch S10
2026-09-18,09:40:34,13.59,Alistair's Apple Watch S10
2026-09-18,09:40:57,13.59,Alistair's Apple Watch S10
2026-09-18,09:41:20,13.59,Alistair's Apple Watch S10
2026-09-18,09:41:37,13.59,Alistair's Apple Watch S10
2026-09-18,09:41:55,13.59,Alistair's Apple Watch S10
2026-09-18,09:42:10,13.59,Alistair's Apple Watch S10
2026-09-18,09:42:36,13.69,Alistair's Apple Watch S10
2026-09-18,09:42:56,13.59,Alistair's Apple Watch S10
2026-09-18,09:43:14,13.59,Alistair's Apple Watch S10
2026-09-18,09:43:33,13.59,Alistair's Apple Watch S10
2026-09-18,09:43:50,13.59,Alistair's Apple Watch S10
2026-09-18,09:44:09,13.59,Alistair's Apple Watch S10
2026-09-18,09:44:31,13.59,Alistair's Apple Watch S10
2026-09-18,09:44:51,13.59,Alistair's Apple Watch S10
2026-09-18,09:45:11,13.59,Alistair's Apple Watch S10
2026-09-18,09:45:26,13.59,Alistair's Apple Watch S10
2026-09-18,09:45:44,13.69,Alistair's Apple Watch S10
2026-09-18,09:46:00,13.69,Alistair's Apple Watch S10
2026-09-18,09:46:15,13.69,Alistair's Apple Watch S10
2026-09-18,09:46:39,13.69,Alistair's Apple Watch S10
2026-09-18,09:46:57,13.69,Alistair's Apple Watch S10
2026-09-18,09:47:13,13.69,Alistair's Apple Watch S10
2026-09-18,09:47:31,13.69,Alistair's Apple Watch S10
2026-09-18,09:48:00,13.79,Alistair's Apple Watch S10
2026-09-18,09:48:18,13.79,Alistair's Apple Watch S10
2026-09-18,09:48:48,13.79,Alistair's Apple Watch S10
2026-09-18,09:49:09,13.79,Alistair's Apple Watch S10
2026-09-18,09:49:26,13.79,Alistair's Apple Watch S10
2026-09-18,09:49:49,13.69,Alistair's Apple Watch S10
2026-09-18,09:50:06,13.69,Alistair's Apple Watch S10
2026-09-18,09:50:22,13.69,Alistair's Apple Watch S10
2026-09-18,09:50:38,13.69,Alistair's Apple Watch S10
2026-09-18,09:50:57,13.69,Alistair's Apple Watch S10
2026-09-18,09:51:13,13.69,Alistair's Apple Watch S10
2026-09-18,09:51:30,13.59,Alistair's Apple Watch S10
2026-09-18,09:51:47,13.59,Alistair's Apple Watch S10
2026-09-19,13:44:34,24.48,Alistair's Apple Watch S10
2026-09-19,13:44:34,13.48,Alistair's Apple Watch S10
2026-09-19,13:44:40,14.51,Alistair's Apple Watch S10
2026-09-19,13:45:10,14.39,Alistair's Apple Watch S10
2026-09-19,13:45:25,14.49,Alistair's Apple Watch S10
2026-09-19,13:45:40,14.49,Alistair's Apple Watch S10
2026-09-19,13:45:58,14.49,Alistair's Apple Watch S10
2026-09-19,13:46:14,14.29,Alistair's Apple Watch S10
2026-09-19,13:46:30,14.29,Alistair's Apple Watch S10
2026-09-19,13:46:45,14.29,Alistair's Apple Watch S10
2026-09-19,13:47:00,14.29,Alistair's Apple Watch S10
2026-09-19,13:47:16,14.29,Alistair's Apple Watch S10
2026-09-19,13:47:32,14.29,Alistair's Apple Watch S10
2026-09-19,13:47:49,14.29,Alistair's Apple Watch S10
2026-09-19,13:48:05,14.29,Alistair's Apple Watch S10
2026-09-19,13:48:34,14.29,Alistair's Apple Watch S10
2026-09-19,13:48:50,14.19,Alistair's Apple Watch S10
2026-09-19,13:49:07,14.19,Alistair's Apple Watch S10
2026-09-19,13:49:22,14.19,Alistair's Apple Watch S10
2026-09-19,13:49:41,14.19,Alistair's Apple Watch S10
2026-09-19,13:49:58,14.19,Alistair's Apple Watch S10
2026-09-19,13:50:14,14.19,Alistair's Apple Watch S10
2026-09-19,13:50:32,14.19,Alistair's Apple Watch S10
2026-09-19,13:50:51,14.19,Alistair's Apple Watch S10
2026-09-19,13:51:13,14.29,Alistair's Apple Watch S10
2026-09-19,13:51:29,14.29,Alistair's Apple Watch S10
2026-09-19,13:51:44,14.19,Alistair's Apple Watch S10
2026-09-19,13:52:00,14.19,Alistair's Apple Watch S10
2026-09-19,13:53:00,14.61,Alistair's Apple Watch S10
2026-09-19,13:53:15,14.19,Alistair's Apple Watch S10
2026-09-19,13:53:30,14.19,Alistair's Apple Watch S10
2026-09-19,13:53:51,14.19,Alistair's Apple Watch S10
2026-09-19,13:54:06,14.19,Alistair's Apple Watch S10
2026-09-19,13:54:23,14.19,Alistair's Apple Watch S10
2026-09-19,13:54:43,14.19,Alistair's Apple Watch S10
2026-09-19,13:55:01,14.19,Alistair's Apple Watch S10
2026-09-19,13:55:22,14.19,Alistair's Apple Watch S10
2026-09-19,13:55:37,14.09,Alistair's Apple Watch S10
2026-09-19,13:55:52,14.09,Alistair's Apple Watch S10
2026-09-19,13:56:09,14.09,Alistair's Apple Watch S10
2026-09-19,13:56:36,14.09,Alistair's Apple Watch S10
2026-09-19,13:56:56,14.09,Alistair's Apple Watch S10
2026-09-19,13:57:14,14.19,Alistair's Apple Watch S10
2026-09-19,13:57:34,14.19,Alistair's Apple Watch S10
2026-09-19,13:57:51,14.19,Alistair's Apple Watch S10
2026-09-19,13:58:11,14.19,Alistair's Apple Watch S10
2026-09-19,13:58:26,14.19,Alistair's Apple Watch S10
2026-09-19,13:58:55,14.19,Alistair's Apple Watch S10
2026-09-19,13:59:17,14.09,Alistair's Apple Watch S10
2026-09-19,13:59:36,14.09,Alistair's Apple Watch S10
